20260000|Alumno_0|Industrial|93.54
20260001|Alumno_1|Electronica|85.74
20260002|Alumno_2|Electronica|74.26
20260003|Alumno_3|Industrial|89.4
20260004|Alumno_4|Sistemas|72.0
20260005|Alumno_5|Electronica|81.63
20260006|Alumno_6|Electronica|89.29
20260007|Alumno_7|Mecatronica|97.23
20260008|Alumno_8|Sistemas|69.26
20260009|Alumno_9|Industrial|86.17
20260010|Alumno_10|Electronica|98.65
20260011|Alumno_11|Mecatronica|64.11
20260012|Alumno_12|Industrial|79.32
20260013|Alumno_13|Sistemas|87.46
20260014|Alumno_14|Electronica|78.69
20260015|Alumno_15|Electronica|69.96
20260016|Alumno_16|Electronica|94.24
20260017|Alumno_17|Industrial|70.88
20260018|Alumno_18|Mecatronica|86.88
20260019|Alumno_19|Industrial|84.56
20260020|Alumno_20|Industrial|87.84
20260021|Alumno_21|Sistemas|79.52
20260022|Alumno_22|Electronica|89.95
20260023|Alumno_23|Sistemas|71.93
20260024|Alumno_24|Electronica|92.35
20260025|Alumno_25|Mecatronica|83.84
20260026|Alumno_26|Industrial|70.71
20260027|Alumno_27|Mecatronica|89.45
20260028|Alumno_28|Industrial|67.14
20260029|Alumno_29|Sistemas|69.72
20260030|Alumno_30|Mecatronica|62.44
20260031|Alumno_31|Electronica|80.21
20260032|Alumno_32|Sistemas|61.56
20260033|Alumno_33|Industrial|82.33
20260034|Alumno_34|Sistemas|74.67
20260035|Alumno_35|Sistemas|71.2
20260036|Alumno_36|Mecatronica|94.32
20260037|Alumno_37|Sistemas|70.68
20260038|Alumno_38|Sistemas|61.89
20260039|Alumno_39|Industrial|65.67
20260040|Alumno_40|Mecatronica|73.17
20260041|Alumno_41|Mecatronica|77.24
20260042|Alumno_42|Mecatronica|80.49
20260043|Alumno_43|Electronica|88.34
20260044|Alumno_44|Industrial|72.33
20260045|Alumno_45|Industrial|96.84
20260046|Alumno_46|Electronica|70.13
20260047|Alumno_47|Mecatronica|75.28
20260048|Alumno_48|Industrial|63.62
20260049|Alumno_49|Electronica|78.86
20260050|Alumno_50|Mecatronica|63.0
20260051|Alumno_51|Industrial|93.57
20260052|Alumno_52|Sistemas|97.07
20260053|Alumno_53|Electronica|70.98
20260054|Alumno_54|Electronica|84.71
20260055|Alumno_55|Mecatronica|83.55
20260056|Alumno_56|Electronica|87.15
20260057|Alumno_57|Sistemas|90.8
20260058|Alumno_58|Industrial|89.49
20260059|Alumno_59|Industrial|87.33
20260060|Alumno_60|Sistemas|64.72
20260061|Alumno_61|Sistemas|83.29
20260062|Alumno_62|Electronica|76.51
20260063|Alumno_63|Mecatronica|87.65
20260064|Alumno_64|Mecatronica|67.68
20260065|Alumno_65|Sistemas|98.55
20260066|Alumno_66|Sistemas|70.13
20260067|Alumno_67|Mecatronica|78.59
20260068|Alumno_68|Electronica|82.42
20260069|Alumno_69|Sistemas|74.8
20260070|Alumno_70|Industrial|98.33
20260071|Alumno_71|Sistemas|76.6
20260072|Alumno_72|Sistemas|81.07
20260073|Alumno_73|Electronica|73.41
20260074|Alumno_74|Electronica|99.83
20260075|Alumno_75|Sistemas|69.86
20260076|Alumno_76|Electronica|86.2
20260077|Alumno_77|Electronica|63.53
20260078|Alumno_78|Industrial|91.45
20260079|Alumno_79|Electronica|78.03
20260080|Alumno_80|Electronica|78.21
20260081|Alumno_81|Mecatronica|70.76
20260082|Alumno_82|Mecatronica|69.06
20260083|Alumno_83|Industrial|64.13
